whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X1263.Molecular.Connections.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A061AE68	1	1	0	0	0	0	0	0	0	0	0
A0A061AE78	1	1	0	0	0	0	0	0	0	0	0
A0A061AE89	1	1	0	0	0	0	0	0	0	1	0
A0A061AE94	1	1	0	0	0	0	0	0	0	1	0
A0A061AE99	1	1	0	0	0	0	0	0	0	0	0
A0A061AEA3	1	1	0	0	0	0	0	0	0	0	0
A0A061AEA8	1	1	0	0	0	0	0	0	0	0	0
A0A061AEB3	1	1	0	0	0	0	0	0	0	0	0
A0A061AEB7	1	1	0	0	0	0	0	0	0	1	0
A0A061AEC1	1	1	0	0	0	0	0	0	0	0	0
A0A061AEC4	1	1	0	0	0	0	0	0	0	1	0
A0A061AED1	1	1	0	0	0	0	0	0	0	1	0
A0A061AIT4	1	1	0	0	0	0	0	0	0	0	0
A0A061AIU0	1	1	0	0	0	0	0	0	0	1	0
A0A061AIU7	1	1	0	0	0	0	0	0	0	1	0
A0A061AIV4	1	1	0	0	0	0	0	0	0	0	0
A0A061AIW1	1	1	0	0	0	0	0	0	0	0	0
A0A061AIW8	1	1	0	0	0	0	0	0	0	0	0
A0A061AIX6	1	1	0	0	0	0	0	0	0	0	0
A0A061AIY3	1	1	0	0	0	0	0	0	0	0	0
A0A061AIZ0	1	1	0	0	0	0	0	0	0	1	0
A0A061AIZ9	1	1	0	0	0	0	0	0	0	1	0
A0A061AJ06	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ13	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ20	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ27	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ35	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ42	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ50	1	1	0	0	0	0	0	0	0	1	0
A0A061AJ57	1	1	0	0	0	0	0	0	0	1	0
A0A061AJ63	1	1	0	0	0	0	0	0	0	1	0
A0A061AJ70	1	1	0	0	0	0	0	0	0	1	0
A0A061AJ76	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ82	1	1	0	0	0	0	0	0	0	0	0
A0A061AJ89	1	1	0	0	0	0	0	0	0	1	0
A0A061AJ97	1	1	0	0	0	0	0	0	0	1	0
A0A061AJA3	1	1	0	0	0	0	0	0	0	1	0
A0A061AJB0	1	1	0	0	0	0	0	0	0	1	0
A0A061AJB7	1	1	0	0	0	0	0	0	0	0	0
A0A061AJC4	1	1	0	0	0	0	0	0	0	1	0
A0A061AJF0	1	1	0	0	0	0	0	0	0	0	0
A0A061AJG8	1	1	0	0	0	0	0	0	0	0	0
A0A061AJH3	1	1	0	0	0	0	0	0	0	0	0
A0A061AJH7	1	1	0	0	0	0	0	0	0	0	0
A0A061AJI1	1	1	0	0	0	0	0	0	0	1	0
A0A061AJI4	1	1	0	0	0	0	0	0	0	0	0
