whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	IMEx	missing_protein_evidence
P05637	1	1	uniprotkb	83333	1	0	0	0	1	0
P05704	1	1	uniprotkb	83333	1	0	0	0	1	0
P05706	1	1	uniprotkb	83333	1	0	0	0	1	0
P05707	1	1	uniprotkb	83333	1	0	0	0	1	0
P05719	1	1	uniprotkb	83333	1	0	0	0	1	0
P05791	1	1	uniprotkb	83333	1	0	0	0	1	0
P05793	1	1	uniprotkb	83333	1	0	0	0	1	0
P05804	1	1	uniprotkb	83333	1	0	0	0	1	0
P05822	0	0	uniprotkb	83333	1	0	0	0	1	0
P05824	1	1	uniprotkb	83333	1	0	0	0	1	0
P05825	1	1	uniprotkb	83333	0	0	0	1	1	0
P05827	1	1	uniprotkb	83333	1	0	0	0	1	1
P05847	1	1	uniprotkb	83333	1	0	0	0	1	0
P05852	1	1	uniprotkb	83333	1	0	0	0	1	0
P06129	1	1	uniprotkb	83333	1	0	0	0	1	0
P06134	1	1	uniprotkb	83333	1	0	0	0	1	0
P06136	1	1	uniprotkb	83333	1	1	0	1	1	0
P06149	1	1	uniprotkb	83333	1	0	0	0	1	0
P06282	1	1	uniprotkb	83333	1	0	0	0	1	1
P06609	1	1	uniprotkb	83333	1	1	0	0	1	0
P06610	1	1	uniprotkb	83333	1	0	0	0	1	0
P06611	1	1	uniprotkb	83333	1	1	0	0	1	0
P06612	1	1	uniprotkb	83333	1	0	0	0	1	0
P06615	1	0	0	0	0	0	0	0	0	1
P06616	1	1	uniprotkb	83333	1	0	0	0	1	0
P06626	1	0	uniprotkb	83333	0	0	0	1	1	0
P06627	1	0	0	0	0	0	0	0	0	0
P06709	1	1	uniprotkb	83333	1	0	0	0	1	0
P06710	1	1	uniprotkb	83333	1	0	0	0	1	0
P06710-2	1	1	uniprotkb	83333	1	0	0	0	1	0
P06715	1	1	uniprotkb	83333	1	0	0	0	1	0
P06720	1	1	uniprotkb	83333	1	0	0	0	1	0
P06721	1	1	uniprotkb	83333	1	0	0	0	1	0
P06722	1	1	uniprotkb	83333	1	0	0	1	1	0
P06846	1	1	uniprotkb	83333	1	0	0	0	1	1
P06864	1	1	uniprotkb	83333	1	0	0	0	1	0
P06959	1	1	uniprotkb	83333	1	0	0	0	1	0
P06960	1	1	uniprotkb	83333	1	0	0	0	1	0
P06961	1	1	uniprotkb	83333	1	0	0	0	1	0
P06965	1	1	uniprotkb	83333	1	0	0	0	1	1
P06966	1	1	uniprotkb	83333	1	0	0	0	1	1
P06968	1	1	uniprotkb	83333	1	0	0	0	1	0
P06971	1	1	uniprotkb	83333	1	0	0	1	1	0
P06972	1	1	uniprotkb	83333	1	0	0	0	1	0
P06974	1	1	uniprotkb	83333	1	1	1	0	1	0
P06983	1	1	uniprotkb	83333	1	0	0	0	1	0
P06986	1	1	uniprotkb	83333	1	0	0	0	1	0
P06987	1	1	uniprotkb	83333	1	0	0	0	1	0
P06988	1	1	uniprotkb	83333	1	0	0	0	1	0
P06989	1	1	uniprotkb	83333	1	0	0	0	1	1
P06992	1	1	uniprotkb	83333	1	0	0	0	1	0
P06993	1	1	uniprotkb	83333	1	0	0	1	1	0
P06996	1	1	uniprotkb	83333	1	1	0	0	1	0
P06999	1	1	uniprotkb	83333	0	1	0	0	1	0
P07000	1	1	uniprotkb	83333	1	0	0	0	1	0
P07001	1	1	uniprotkb	83333	1	0	0	0	1	0
P07003	1	1	uniprotkb	83333	1	0	0	0	1	0
P07004	1	1	uniprotkb	83333	1	0	0	0	1	0
P07010	1	1	uniprotkb	83333	1	0	0	0	1	1
P07012	1	1	uniprotkb	83333	1	0	0	0	1	0
P07013	1	1	uniprotkb	83333	1	1	0	0	1	0
P07014	1	1	uniprotkb	83333	1	0	0	0	1	0
P07017	1	1	uniprotkb	83333	1	0	0	0	1	0
P07018	1	1	uniprotkb	83333	1	0	0	0	1	0
P07021	1	1	uniprotkb	83333	1	0	0	0	1	1
