whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	1263(Molecular Connections)	IMEx	missing_protein_evidence
G5EBR3	1	1	0	0	0	0	0	0	0	0
G5EBR5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBR7	0	0	uniprotkb	6239	0	1	0	0	1	0
G5EBR8	1	1	0	0	0	0	0	0	0	0
G5EBS5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBS8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBT1	1	1	0	0	0	0	0	0	0	1
G5EBT2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBT5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBU4	1	1	uniprotkb	6239	1	0	0	0	1	1
G5EBU5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBU8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBV0	1	1	uniprotkb	6239	1	0	1	0	1	0
G5EBV4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBV6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBX2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBX9	1	1	0	0	0	0	0	0	0	0
G5EBY0	1	1	uniprotkb	6239	1	0	0	0	1	1
G5EBY3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBY5	0	0	uniprotkb	6239	1	1	0	0	1	0
G5EBY8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EBZ4	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EBZ8	1	1	uniprotkb	6239	1	0	0	0	1	1
G5EC12	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC14	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC16	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC21	1	1	0	0	0	0	0	0	0	1
G5EC23	0	0	uniprotkb	6239	1	0	1	0	1	0
G5EC24	1	1	0	0	0	0	0	0	0	0
G5EC27	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC32	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC36	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC37	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC40	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC44	0	0	uniprotkb	6239	1	1	0	0	1	0
G5EC49	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC57	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC62	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC63	1	1	uniprotkb	6239	1	0	0	0	1	1
G5EC64	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC68	1	1	0	0	0	0	0	0	0	0
G5EC70	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC71	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC72	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC77	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC78	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC84	1	1	uniprotkb	6239	1	0	0	0	1	0
G5EC86	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC87	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC89	0	0	uniprotkb	6239	1	0	0	0	1	0
G5EC91	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECA0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECA1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECA8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECB1	1	1	0	0	0	0	0	0	0	1
G5ECB3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECB9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECC0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECC3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECC5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECD4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECD7	0	0	uniprotkb	6239	1	1	0	0	1	0
G5ECD9	1	1	0	0	0	0	0	0	0	0
G5ECE7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECF0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECF1	0	0	uniprotkb	6239	0	1	1	0	1	0
G5ECF6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECF7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECG0	1	1	uniprotkb	6239	1	1	1	0	1	0
G5ECG2	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ECG5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECH0	0	0	uniprotkb	6239	0	1	0	0	1	0
G5ECH7	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ECJ0	1	1	0	0	0	0	0	0	0	0
G5ECJ4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECJ5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECJ6	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ECJ8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECK3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECK4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECK5	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECK7	0	0	uniprotkb	6239	1	0	1	0	1	0
G5ECL1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECL2	1	1	0	0	0	0	0	0	0	0
G5ECL3	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECL6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECM1	0	0	uniprotkb	6239	0	1	0	0	1	0
G5ECM2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECM8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECM9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECN1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECN5	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ECN7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECN8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECP4	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECP6	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECQ1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECQ2	1	1	uniprotkb	6239	1	0	0	0	1	1
G5ECQ3	1	1	uniprotkb	6239	1	0	0	0	1	1
G5ECQ8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECR7	0	0	uniprotkb	6239	1	0	1	0	1	0
G5ECR8	1	1	uniprotkb	6239	0	1	0	0	1	1
G5ECT0	1	1	0	0	0	0	0	0	0	0
G5ECT2	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECT7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECT8	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ECT9	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECU1	1	1	uniprotkb	6239	1	1	0	0	1	0
G5ECU7	1	1	uniprotkb	6239	1	0	0	0	1	0
G5ECV7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECW9	0	0	uniprotkb	6239	1	1	0	0	1	0
G5ECX0	1	1	0	0	0	0	0	0	0	1
G5ECX1	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECX8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECY0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECY7	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECZ0	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ECZ4	1	1	0	0	0	0	0	0	0	0
G5ECZ8	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED00	1	1	uniprotkb	6239	1	0	0	0	1	1
G5ED07	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED14	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED20	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED21	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED30	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED33	0	0	uniprotkb	6239	1	1	0	0	1	0
G5ED35	1	1	0	0	0	0	0	0	0	0
G5ED36	0	0	uniprotkb	6239	0	1	0	0	1	0
G5ED39	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED41	1	1	uniprotkb	6239	0	0	1	0	1	0
G5ED42	0	0	uniprotkb	6239	1	0	0	0	1	0
G5ED44	1	1	0	0	0	0	0	0	0	1
G5ED45	1	1	0	0	0	0	0	0	0	0
G5ED46	0	0	uniprotkb	6239	1	0	0	0	1	0
