whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	X0469.IntAct.	X0471.MINT.	X0486.UniProt.	X0903.mpidb.	X1263.Molecular.Connections.	X1335.HPIDb.	IMEx	missing_protein_evidence	BioGRID_from_Mentha
A0A097PQA7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PQG1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PQL8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PQU4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PR03	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PR53	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PRF7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PRK9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PRT6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PS06	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PS22	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PS65	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PSE1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PSJ3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PSQ3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PSW2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A097PSZ6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A098CI90	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A098CJN8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A098CKY1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0A1GRI8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0A7EPL0	1	1	0	0	0	0	0	0	0	0	0	1	0
A0A0A8IL98	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UKY5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UL02	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UL26	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UL43	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4ULJ4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4ULM9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4ULR9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4ULY4	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UMN9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UMR6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0B4UMT5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0D5MF12	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0E3MVM2	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0E4B2R0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0E4B2Z5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0E4B4D7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0E4FLL0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F6SCX9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7C956	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PX47	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PX50	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PX53	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PX57	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PXK0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PXK3	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PXK5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PXL1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PZZ1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7PZZ9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q002	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q1T6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q1U1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q1U7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q1V6	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q2M9	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0F7Q2P0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0G4NSG5	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0H3VBT7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0H4MBS1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1CVP8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1H186	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1SB46	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1SB51	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1SB69	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1SBD7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K1SBE8	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K2S4Q7	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0K2S4S0	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0N7KW38	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0N9DZS1	1	0	0	0	0	0	0	0	0	0	0	1	0
A0A0R7LJI3	1	0	0	0	0	0	0	0	0	0	0	1	0
