whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	0974(InnateDB)	1222(mbinfo)	1262(I2D)	1263(Molecular Connections)	1332(bhf-ucl)	1335(HPIDb)	IMEx	missing_protein_evidence
A0A075B5M1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5M2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5M3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5M4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5M7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5M8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5M9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5N2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5N4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5N8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5N9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5P0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5P1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5P2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5P3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5P4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5P5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5P6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5P7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5P8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5P9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5Q7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5Q9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B5R1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A0A075B5R4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
