whole_proteome_IDs	whole_proteome_Uniprot	reference_proteome_Uniprot	interactor_IDs_databases	interactor_SPECIES_ID	0469(IntAct)	0471(MINT)	0486(UniProt)	0903(mpidb)	1263(Molecular Connections)	1335(HPIDb)	IMEx
F4HSD5	1	1	0	0	0	0	0	0	0	0	0
F4HSQ2	1	1	0	0	0	0	0	0	0	0	0
F4HSX9	1	1	0	0	0	0	0	0	0	0	0
F4HT21	1	1	0	0	0	0	0	0	0	0	0
F4HT41	1	1	0	0	0	0	0	0	0	0	0
F4HT49	1	1	0	0	0	0	0	0	0	0	0
F4HTE0	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4HTM3	1	1	0	0	0	0	0	0	0	0	0
F4HTQ1	1	1	0	0	0	0	0	0	0	0	0
F4HTT6	1	1	0	0	0	0	0	0	0	0	0
F4HUC4	1	1	0	0	0	0	0	0	0	0	0
F4HUK6	1	1	0	0	0	0	0	0	0	0	0
F4HV09	1	1	0	0	0	0	0	0	0	0	0
F4HV65	1	1	0	0	0	0	0	0	0	0	0
F4HVA6	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HVG8	1	1	0	0	0	0	0	0	0	0	0
F4HVJ3	1	1	0	0	0	0	0	0	0	0	0
F4HVM3	1	1	0	0	0	0	0	0	0	0	0
F4HVS0	1	1	0	0	0	0	0	0	0	0	0
F4HVS6	1	1	0	0	0	0	0	0	0	0	0
F4HVW5	1	1	0	0	0	0	0	0	0	0	0
F4HVX7	1	1	0	0	0	0	0	0	0	0	0
F4HVY0	1	1	0	0	0	0	0	0	0	0	0
F4HW02	1	1	0	0	0	0	0	0	0	0	0
F4HW04	1	1	0	0	0	0	0	0	0	0	0
F4HW17	1	1	0	0	0	0	0	0	0	0	0
F4HW51	1	1	0	0	0	0	0	0	0	0	0
F4HW65	1	1	0	0	0	0	0	0	0	0	0
F4HWB6	1	1	0	0	0	0	0	0	0	0	0
F4HWC3	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4HWE6	1	1	0	0	0	0	0	0	0	0	0
F4HWF9	1	1	0	0	0	0	0	0	0	0	0
F4HWL4	1	1	0	0	0	0	0	0	0	0	0
F4HWQ8	1	1	0	0	0	0	0	0	0	0	0
F4HWY6	1	1	0	0	0	0	0	0	0	0	0
F4HX15	1	1	0	0	0	0	0	0	0	0	0
F4HX80	1	1	0	0	0	0	0	0	0	0	0
F4HXH4	0	0	uniprotkb	3702	0	1	0	0	0	0	1
F4HXP9	1	1	0	0	0	0	0	0	0	0	0
F4HXQ7	1	1	0	0	0	0	0	0	0	0	0
F4HXU3	1	1	0	0	0	0	0	0	0	0	0
F4HXV6	1	1	0	0	0	0	0	0	0	0	0
F4HXY7	1	1	0	0	0	0	0	0	0	0	0
F4HY32	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4HY56	1	1	0	0	0	0	0	0	0	0	0
F4HY61	1	1	0	0	0	0	0	0	0	0	0
F4HYF3	1	1	0	0	0	0	0	0	0	0	0
F4HYG2	1	1	0	0	0	0	0	0	0	0	0
F4HYJ7	1	1	0	0	0	0	0	0	0	0	0
F4HYR3	1	1	0	0	0	0	0	0	0	0	0
F4HYR6	1	1	0	0	0	0	0	0	0	0	0
F4HYV5	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HZB2	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4HZB5	1	1	0	0	0	0	0	0	0	0	0
F4HZC3	1	1	0	0	0	0	0	0	0	0	0
F4HZD1	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4HZF0	1	1	0	0	0	0	0	0	0	0	0
F4HZH9	1	1	0	0	0	0	0	0	0	0	0
F4HZQ7	1	1	0	0	0	0	0	0	0	0	0
F4HZY9	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4HZZ4	1	1	0	0	0	0	0	0	0	0	0
F4HZZ5	1	1	0	0	0	0	0	0	0	0	0
F4I037	1	1	0	0	0	0	0	0	0	0	0
F4I096	1	1	0	0	0	0	0	0	0	0	0
F4I0K2	1	1	uniprotkb	3702	0	0	1	0	0	0	1
F4I0K9	1	1	0	0	0	0	0	0	0	0	0
F4I0N3	1	1	0	0	0	0	0	0	0	0	0
F4I0P8	1	1	uniprotkb	3702	0	0	1	0	0	0	1
F4I107	1	1	0	0	0	0	0	0	0	0	0
F4I111	1	1	0	0	0	0	0	0	0	0	0
F4I114	1	1	0	0	0	0	0	0	0	0	0
F4I116	1	1	0	0	0	0	0	0	0	0	0
F4I131	1	1	0	0	0	0	0	0	0	0	0
F4I169	1	1	0	0	0	0	0	0	0	0	0
F4I171	1	1	0	0	0	0	0	0	0	0	0
F4I1A6	1	1	0	0	0	0	0	0	0	0	0
F4I1G5	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4I1H5	1	1	0	0	0	0	0	0	0	0	0
F4I1I4	1	1	0	0	0	0	0	0	0	0	0
F4I1L3	1	1	0	0	0	0	0	0	0	0	0
F4I1N8	1	1	0	0	0	0	0	0	0	0	0
F4I1S7	1	1	0	0	0	0	0	0	0	0	0
F4I1T7	1	1	0	0	0	0	0	0	0	0	0
F4I1T9	1	1	0	0	0	0	0	0	0	0	0
F4I1X0	1	1	0	0	0	0	0	0	0	0	0
F4I214	1	1	0	0	0	0	0	0	0	0	0
F4I241	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4I248	1	1	0	0	0	0	0	0	0	0	0
F4I274	1	1	0	0	0	0	0	0	0	0	0
F4I2H2	1	1	0	0	0	0	0	0	0	0	0
F4I2H7	1	1	0	0	0	0	0	0	0	0	0
F4I2J8	1	1	uniprotkb	3702	0	1	0	0	0	0	1
F4I2X9	1	1	0	0	0	0	0	0	0	0	0
F4I2Y3	1	1	0	0	0	0	0	0	0	0	0
F4I340	1	1	0	0	0	0	0	0	0	0	0
F4I366	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4I3B3	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4I3V3	1	1	0	0	0	0	0	0	0	0	0
F4I3Z5	1	1	0	0	0	0	0	0	0	0	0
F4I420	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4I443	1	1	0	0	0	0	0	0	0	0	0
F4I460	1	1	0	0	0	0	0	0	0	0	0
F4I4B6	1	1	0	0	0	0	0	0	0	0	0
F4I4F2	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4I4K5	1	1	0	0	0	0	0	0	0	0	0
F4I4K7	1	1	0	0	0	0	0	0	0	0	0
F4I4P3	1	1	0	0	0	0	0	0	0	0	0
F4I4P8	1	1	0	0	0	0	0	0	0	0	0
F4I4Q3	1	1	0	0	0	0	0	0	0	0	0
F4I4W2	1	1	0	0	0	0	0	0	0	0	0
F4I507	1	1	0	0	0	0	0	0	0	0	0
F4I532	1	1	0	0	0	0	0	0	0	0	0
F4I562	1	1	0	0	0	0	0	0	0	0	0
F4I594	1	1	0	0	0	0	0	0	0	0	0
F4I5D5	1	1	0	0	0	0	0	0	0	0	0
F4I5N6	1	1	0	0	0	0	0	0	0	0	0
F4I5Q2	1	1	0	0	0	0	0	0	0	0	0
F4I5Q6	1	1	0	0	0	0	0	0	0	0	0
F4I6E6	1	1	0	0	0	0	0	0	0	0	0
F4I6G4	1	1	0	0	0	0	0	0	0	0	0
F4I6M1	1	1	0	0	0	0	0	0	0	0	0
F4I6M4	1	1	0	0	0	0	0	0	0	0	0
F4I6V0	1	1	0	0	0	0	0	0	0	0	0
F4I764	0	0	uniprotkb	3702	1	0	0	0	0	0	1
F4I7I0	1	1	uniprotkb	3702	1	0	0	0	0	0	1
F4I7L1	1	1	0	0	0	0	0	0	0	0	0
F4I7Y2	1	1	0	0	0	0	0	0	0	0	0
F4I837	1	1	0	0	0	0	0	0	0	0	0
F4I839	1	1	0	0	0	0	0	0	0	0	0
